"ComplaintID","CDisputed.fctr","CDisputed.fctr.Interact.High.cor.Y..rcv.glmnet.prob","CDisputed.fctr.Interact.High.cor.Y..rcv.glmnet","CDisputed.fctr.Interact.High.cor.Y..rcv.glmnet.err","CDisputed.fctr.Interact.High.cor.Y..rcv.glmnet.err.abs","CDisputed.fctr.Interact.High.cor.Y..rcv.glmnet.is.acc"
469210,"N",0.32676284350555,"N",FALSE,0.32676284350555,TRUE
469979,"N",0.338293608667828,"N",FALSE,0.338293608667828,TRUE
470418,"N",0.327762684298903,"N",FALSE,0.327762684298903,TRUE
470471,"N",0.327765461672139,"N",FALSE,0.327765461672139,TRUE
482552,"N",0.336339216758411,"N",FALSE,0.336339216758411,TRUE
465943,"N",0.296447951017547,"N",FALSE,0.296447951017547,TRUE
489429,"N",0.340698423256719,"N",FALSE,0.340698423256719,TRUE
467777,"N",0.304451910451872,"N",FALSE,0.304451910451872,TRUE
489621,"N",0.340708680577449,"N",FALSE,0.340708680577449,TRUE
499790,"N",0.322994159646965,"N",FALSE,0.322994159646965,TRUE
468065,"N",0.291269988165894,"N",FALSE,0.291269988165894,TRUE
500706,"N",0.339406651665391,"N",FALSE,0.339406651665391,TRUE
501275,"N",0.344842868240807,"N",FALSE,0.344842868240807,TRUE
473092,"N",0.304730975743773,"N",FALSE,0.304730975743773,TRUE
486373,"N",0.313111973885193,"N",FALSE,0.313111973885193,TRUE
473392,"N",0.294711613169295,"N",FALSE,0.294711613169295,TRUE
474588,"N",0.315055620574337,"N",FALSE,0.315055620574337,TRUE
509259,"N",0.351392097281878,"N",FALSE,0.351392097281878,TRUE
487575,"N",0.361050467111141,"N",FALSE,0.361050467111141,TRUE
516391,"N",0.307089001758662,"N",FALSE,0.307089001758662,TRUE
501876,"N",0.293498939561136,"N",FALSE,0.293498939561136,TRUE
510361,"N",0.356945659235743,"N",FALSE,0.356945659235743,TRUE
510642,"N",0.336981027178497,"N",FALSE,0.336981027178497,TRUE
531238,"N",0.350562785101986,"N",FALSE,0.350562785101986,TRUE
525594,"N",0.29291094401471,"N",FALSE,0.29291094401471,TRUE
518847,"N",0.295463696311449,"N",FALSE,0.295463696311449,TRUE
497170,"N",0.38063915567031,"N",FALSE,0.38063915567031,TRUE
512647,"N",0.354636634362481,"N",FALSE,0.354636634362481,TRUE
524587,"N",0.252193875512504,"N",FALSE,0.252193875512504,TRUE
504339,"N",0.356825638353048,"N",FALSE,0.356825638353048,TRUE
